RoadType,SpeedLimit,NodeID,x,y
tertiary,30,983153036,1.4051801,51.335515
tertiary,30,300398878,1.4059489,51.3335715
residential,30,8397376891,1.4064645,51.3341978
tertiary,30,1722029476,1.4073758,51.3338583
residential,30,7088031642,1.4034243,51.3309197
secondary,40,300398889,1.4037652,51.3292871
residential,30,1898384928,1.4045356,51.3386925
residential,20,300404355,1.3917656,51.3479664
residential,20,1353691009,1.3926982,51.3473452
residential,20,1353690883,1.3929027,51.3472547
residential,20,1353690933,1.3929271,51.3468013
residential,20,1353691050,1.3927138,51.3468852
residential,20,2311885720,1.3916585,51.3463288
residential,20,1336030669,1.3905841,51.346742
residential,20,1336030268,1.390772,51.3468495
residential,20,1336030781,1.3907388,51.3473206
residential,20,1336030606,1.3905527,51.347211
residential,20,300404349,1.3915062,51.3479516
footway,No data,300404360,1.3911389,51.3481205
residential,20,1336030737,1.3869287,51.3477354
residential,20,8283855322,1.3910895,51.3440225
residential,20,8283855321,1.3907567,51.3441009
secondary,30,6840794524,1.3912234,51.3406929
residential,20,8283855244,1.3921014,51.3413552
footway,30,300708664,1.3962266,51.3477308
residential,20,1353690963,1.3981453,51.3485959
residential,30,300505227,1.39988,51.3372127
residential,30,300505235,1.4001362,51.3379508
residential,30,1607646485,1.3932988,51.3350516
residential,30,644779917,1.3960854,51.3385105
residential,30,8860691514,1.3933519,51.3340666
residential,30,300505825,1.3893785,51.3350886
residential,30,8395584135,1.3884494,51.3353088
residential,30,8528963898,1.3859398,51.3358046
residential,30,5391125412,1.3836448,51.3362587
residential,30,300506499,1.3865621,51.3356778
footway,No data,8528963897,1.3865191,51.3355705
residential,30,8860691513,1.3910241,51.3346506
cycleway,No data,300602559,1.3993821,51.3491211
secondary,30,6840794521,1.3905852,51.3408346
secondary,30,1335994683,1.3902285,51.3408646
residential,10,300604494,1.3907408,51.3411356
residential,10,300604495,1.3907833,51.3412179
secondary,30,300604503,1.3898416,51.3408351
service,No data,6840794514,1.3897757,51.3407761
secondary,30,1335994715,1.3894002,51.3411953
secondary,30,1335994793,1.3903361,51.3409096
secondary,30,6915052855,1.3981843,51.3391695
primary,30,300609220,1.4018982,51.3372345
primary,30,6805497759,1.40162,51.3370084
primary,30,5391125369,1.40227,51.3375228
footway,No data,300609223,1.4023117,51.3367862
residential,30,300609229,1.4014783,51.3368955
residential,30,300609243,1.4037166,51.336461
residential,30,8442646190,1.4024856,51.3359427
residential,30,300612685,1.4020719,51.3350621
residential,30,300612666,1.4025001,51.3349969
residential,30,300612712,1.4038809,51.3347595
residential,30,300612725,1.4033322,51.3341184
residential,30,8219807177,1.4023358,51.3335894
residential,30,7088031644,1.4019514,51.3329
residential,30,1212961333,1.4039459,51.3344806
footway,30,8397320056,1.4034962,51.333196
trunk,40,1200009545,1.3896413,51.334245
service,No data,1336038532,1.3900959,51.3338098
tertiary,30,300616698,1.3922533,51.3315807
footway,No data,8946356587,1.4089374,51.3282792
service,No data,300628217,1.3999697,51.3262363
trunk,30,364161671,1.3890007,51.3298156
trunk,30,1540954011,1.4021968,51.3262067
cycleway,No data,300628470,1.3973126,51.3266073
cycleway,No data,1094279972,1.3980116,51.3266004
tertiary,30,300629692,1.3949093,51.3278997
tertiary,30,7104114078,1.3953443,51.3280042
tertiary,30,300629693,1.3948396,51.327878
tertiary,30,1094280012,1.3945407,51.3278062
residential,30,8395514041,1.3923725,51.3276585
residential,30,300631851,1.3929132,51.3275963
residential,30,300631855,1.3928141,51.3273025
footway,30,300631859,1.3934271,51.3291006
tertiary,30,7281952744,1.3932463,51.3274338
residential,30,300631870,1.3938264,51.3301915
footway,30,300631875,1.3943244,51.3290552
residential,30,2280119168,1.3942444,51.3301114
residential,30,7104114064,1.3955739,51.3298265
residential,30,4713180790,1.3935834,51.3308214
tertiary,30,300636441,1.4019258,51.3295396
residential,30,300642990,1.4060941,51.3367277
residential,30,300697432,1.4082698,51.336396
residential,30,300642996,1.4095549,51.3359999
residential,30,300643019,1.4075688,51.3353512
tertiary,30,11553956452,1.4099769,51.3363065
residential,30,300643022,1.409269,51.3345491
residential,30,300644568,1.4099584,51.3339499
residential,30,7930876081,1.4116734,51.3352864
residential,30,300643002,1.4131464,51.334774
residential,30,300643003,1.4131655,51.3347546
unclassified,30,300925065,1.4135651,51.3351191
footway,No data,300925096,1.4137621,51.3344359
footway,No data,300652650,1.4115775,51.3336125
residential,30,300925113,1.4140856,51.333707
residential,30,1722029445,1.413959,51.3333809
residential,30,300925111,1.4148196,51.3335386
residential,30,1722029434,1.4144628,51.3330651
residential,30,7956612647,1.4151248,51.3328238
residential,30,1722029461,1.4085396,51.3335611
tertiary,30,300643025,1.410595,51.3329485
tertiary,30,300643026,1.410822,51.3326185
tertiary,30,1722029481,1.4099805,51.3339083
residential,30,1722029442,1.4110951,51.3332661
tertiary,30,300643027,1.41122,51.3319728
tertiary,30,300643028,1.4114647,51.3315852
tertiary,30,300693159,1.4128121,51.3314193
tertiary,30,7130398755,1.4110185,51.3309338
tertiary,30,7130398753,1.4122157,51.3307006
residential,30,1722029475,1.4096015,51.3337771
residential,30,7956612641,1.4095405,51.3326224
residential,30,300649149,1.4087806,51.3317451
steps,30,1722029399,1.4101005,51.3316864
tertiary,30,8343485875,1.4105407,51.3308003
secondary,30,9102010197,1.410204,51.3286645
tertiary,30,300936191,1.4133412,51.3315678
tertiary,30,1779062952,1.4099667,51.3381158
footway,No data,8929235897,1.407097,51.3375034
footway,No data,300697409,1.4074439,51.3370422
footway,No data,300697338,1.4082389,51.3379324
footway,No data,300697301,1.4083893,51.3380245
footway,No data,300697302,1.4081689,51.3380533
steps,No data,8225948197,1.4082904,51.3379392
path,No data,8929235901,1.4077499,51.3367604
footway,No data,300708660,1.3963064,51.3477003
footway,No data,300708662,1.396882,51.3475074
footway,No data,300708663,1.3974669,51.3473159
footway,No data,300699003,1.3991019,51.3476363
footway,No data,300708679,1.3981357,51.3475062
secondary,30,300701454,1.3989113,51.3468971
residential,30,8945328625,1.406438,51.3401718
footway,No data,4567742129,1.4017102,51.3401606
steps,No data,300700020,1.4016555,51.3401549
steps,No data,1335957979,1.401527,51.3401395
residential,30,8283855222,1.4000728,51.3416392
secondary,30,300701449,1.4000628,51.3421252
residential,30,8283855218,1.399726,51.3420216
secondary,30,8945114283,1.3989969,51.3432028
secondary,30,300701453,1.3987044,51.3461378
residential,30,300712967,1.3983511,51.3460316
secondary,30,8226241523,1.3987747,51.3463957
secondary,30,300708689,1.3988127,51.346535
residential,30,7936391459,1.3979434,51.3471625
secondary,30,8395594364,1.3993563,51.3427064
residential,30,8945114275,1.4001581,51.3428585
residential,30,1335957928,1.3975933,51.3419929
residential,30,300701466,1.3977691,51.3419163
track,No data,8283855209,1.3984728,51.3423469
residential,30,300708667,1.3963381,51.3476882
residential,30,300708675,1.3964377,51.3476525
residential,30,300708670,1.3970356,51.3474571
residential,30,300708671,1.3976201,51.3472633
secondary,30,8283855198,1.3987883,51.3464457
residential,30,1335957997,1.398238,51.3460621
service,30,300712969,1.3979274,51.3461458
residential,30,300712972,1.3977252,51.3462003
footway,No data,300712980,1.3971045,51.3462793
residential,20,1353691010,1.3968378,51.3465866
residential,20,300713025,1.3960104,51.3463312
secondary,30,300714086,1.4003561,51.3497073
secondary,30,307458809,1.4003034,51.3496256
secondary,30,8208074351,1.4005423,51.3499956
secondary,30,300714089,1.4006561,51.350172
residential,30,300717404,1.4018502,51.3498376
secondary,30,307458813,1.4013435,51.3512609
primary,30,300714090,1.4022123,51.3524875
primary,30,983157185,1.402078,51.3526206
tertiary,30,7278650081,1.4025673,51.3528121
secondary,30,938283853,1.4015994,51.3516634
primary,30,300714092,1.403194,51.3513914
primary,30,313876733,1.4035034,51.3510269
primary,30,300714094,1.403667,51.3508475
residential,30,300716712,1.4027978,51.3498513
primary,30,300714095,1.40417,51.3502694
tertiary,30,8557737612,1.4045937,51.3504683
tertiary,30,300716669,1.4037813,51.3500694
residential,30,8283855352,1.4042812,51.3481294
primary,30,300714099,1.4075594,51.34624
primary,30,308282955,1.4078736,51.3458394
primary,30,2005380006,1.4069216,51.3470728
residential,30,1772869563,1.4059508,51.3459913
tertiary,30,300716663,1.4010428,51.3491401
footway,No data,8243320053,1.4001539,51.3491267
residential,30,300716697,1.4010848,51.3490843
tertiary,30,300716666,1.4025234,51.3495302
footway,No data,1772852194,1.4025732,51.3494793
footway,No data,1772852196,1.4024748,51.3495765
tertiary,30,300716709,1.4029222,51.3496892
tertiary,30,300716668,1.4032229,51.3498112
tertiary,30,1772852203,1.4033878,51.34989
residential,30,300716703,1.4032632,51.349768
tertiary,30,300716695,1.4035993,51.3499862
cycleway,No data,1772852202,1.4034389,51.3498452
residential,30,8243288208,1.4014158,51.3487527
residential,30,300716690,1.4028732,51.3497351
cycleway,No data,1772852204,1.403346,51.3499266
cycleway,No data,1772845088,1.4025176,51.349593
cycleway,No data,1772852185,1.4013885,51.3491188
residential,30,8243288212,1.4011636,51.3489859
cycleway,No data,300716698,1.4017337,51.3492284
cycleway,No data,8243320043,1.4019074,51.3492798
cycleway,No data,8243320041,1.4015433,51.3491679
cycleway,No data,300716702,1.4029583,51.3496389
cycleway,No data,8243320049,1.4027771,51.3495621
cycleway,No data,8243288191,1.4031281,51.3497109
steps,No data,8243320050,1.402988,51.3496124
residential,30,1772845098,1.4019792,51.3510329
residential,30,8283855358,1.4028514,51.3478898
residential,30,8283855350,1.4034178,51.3483853
residential,30,300719135,1.405646,51.3454228
residential,30,8283855362,1.4055366,51.3454422
residential,30,8283855368,1.4051336,51.3451283
residential,30,8231697298,1.4052482,51.3464135
residential,30,1772869582,1.404406,51.3474352
residential,30,300721118,1.406727,51.3404915
service,5,5795604199,1.4066018,51.3405489
residential,30,8283855323,1.4019885,51.3441173
residential,30,8283855328,1.4030056,51.3435783
residential,30,8945114295,1.4002676,51.3428821
residential,30,300796177,1.4030897,51.3436252
residential,30,8080057385,1.4031813,51.3436776
footway,No data,300796207,1.403452,51.3430525
residential,30,300796181,1.4040375,51.3439104
residential,30,8609381405,1.4047804,51.3428271
residential,30,6482038687,1.4050971,51.3441381
residential,30,8226110208,1.4061969,51.3439016
residential,30,300796198,1.4087036,51.3443745
residential,30,300796217,1.4037388,51.342908
residential,30,300796852,1.4063807,51.3435641
residential,30,8205240121,1.4066643,51.3433235
tertiary,30,9000156691,1.4103952,51.3366104
tertiary,30,983150882,1.412575,51.3372594
residential,30,300799269,1.4126739,51.3375963
tertiary,30,300919946,1.4140126,51.3368397
tertiary,30,7930876082,1.4127637,51.3371927
service,30,300918705,1.415342,51.337752
service,No data,8225990345,1.4139453,51.3367886
tertiary,30,300925060,1.4151637,51.33632
service,No data,10124186687,1.4133324,51.3352083
unclassified,30,300925084,1.4159487,51.3355202
unclassified,30,300925086,1.4156561,51.3353199
unclassified,30,8336683538,1.4154115,51.3351637
unclassified,30,300925088,1.4139811,51.3342682
unclassified,30,300925090,1.4135843,51.3340944
residential,30,300925125,1.4154113,51.3338143
pedestrian,30,4567898741,1.4198249,51.3333163
footway,No data,4567898739,1.4195834,51.3331713
pedestrian,30,29028726,1.4186512,51.3331529
service,30,300933615,1.4162603,51.3320227
tertiary,30,300933589,1.4165279,51.3323737
residential,30,8397373681,1.4177485,51.3317559
residential,30,3008629929,1.4168779,51.3320164
residential,30,300933594,1.4179312,51.3315659
steps,30,300935058,1.4188305,51.3320297
residential,30,1765206600,1.4165513,51.3318093
residential,30,300933608,1.4157928,51.3314937
residential,30,8397380123,1.4146228,51.3312669
residential,30,3008629931,1.4171579,51.3312451
residential,30,300933607,1.4161428,51.3315662
residential,30,300933614,1.4165616,51.3310899
residential,30,8397385478,1.4169105,51.3304805
residential,30,8397380124,1.415424,51.3305313
residential,30,300933632,1.4154348,51.32996
residential,30,8397380122,1.4151401,51.330792
residential,30,1765206596,1.4144008,51.3305361
residential,30,300939642,1.4138303,51.330667
residential,30,300933639,1.4139288,51.3314112
residential,30,300933640,1.4136586,51.3316712
residential,30,300933646,1.4137864,51.3292204
residential,30,9102010131,1.413664,51.3293931
residential,30,9102010152,1.4135488,51.3300584
residential,30,9102010149,1.4143069,51.3302331
residential,30,300938235,1.4129434,51.3298066
tertiary,30,29028402,1.4132526,51.3293692
tertiary,30,300938236,1.4126207,51.3302552
residential,30,300939643,1.4130759,51.3304269
residential,30,300938237,1.4124541,51.3304534
residential,30,300939640,1.4141038,51.3304253
residential,30,1779062798,1.4188983,51.3362672
residential,30,300944357,1.4206292,51.3380847
residential,30,8467164903,1.420152,51.3375552
primary,30,1779062946,1.4198469,51.3380904
primary,30,5666657967,1.4209402,51.3380614
residential,30,300945876,1.4163207,51.338283
primary,30,308282942,1.4169649,51.3382838
footway,No data,307449022,1.421335,51.3497203
bridleway,No data,307449033,1.4211905,51.3476209
residential,30,307454601,1.4217666,51.3473863
residential,30,307454488,1.4235186,51.3463459
footway,No data,307621413,1.4209797,51.3463391
residential,30,307454577,1.4244652,51.3470133
footway,No data,307454582,1.4241528,51.3474305
tertiary,20,307454636,1.4210947,51.3465632
tertiary,20,307454604,1.4196938,51.3439052
tertiary,20,8205702736,1.4206517,51.3457817
tertiary,20,307454618,1.4185741,51.3434397
footway,No data,307456421,1.4193757,51.3426326
tertiary,20,307454620,1.4184119,51.3432838
tertiary,30,308318442,1.4179143,51.3433652
residential,30,308318448,1.4189879,51.3429708
tertiary,20,1773625603,1.4210517,51.3464871
residential,30,307461961,1.4186964,51.3467442
residential,30,307454644,1.4270806,51.3455257
residential,30,307454687,1.4261895,51.3455207
steps,No data,1579287291,1.4259217,51.3458348
tertiary,30,307456274,1.4161367,51.3435704
tertiary,30,1341068153,1.416599,51.3434939
tertiary,30,1772869522,1.414118,51.3433771
tertiary,30,307456285,1.4122209,51.3428935
tertiary,30,1341068249,1.4140518,51.3433598
residential,30,1779063569,1.4120977,51.3431328
residential,30,308318431,1.4207067,51.342184
service,30,307456862,1.412769,51.3434092
footway,No data,307458810,1.3984348,51.3520902
service,No data,307458877,1.398576,51.3520916
secondary,30,1772845099,1.4013889,51.3513128
residential,20,8403345581,1.4002564,51.3515319
residential,20,1772845100,1.3993919,51.3519847
residential,20,1772845102,1.400464,51.3521236
residential,20,307458819,1.3993196,51.352025
residential,20,8177115054,1.3991979,51.3521883
residential,20,8177115028,1.3983164,51.3533279
residential,20,307458871,1.3986381,51.3532255
residential,20,1772845106,1.3989134,51.3525474
residential,20,8279400295,1.3978544,51.353935
residential,20,8226357825,1.3984958,51.3539205
residential,20,307458827,1.3980538,51.3544763
footway,20,307458836,1.3978398,51.355733
residential,20,1772845125,1.3996062,51.3552601
primary,30,307458832,1.3997174,51.3552624
primary,30,1772845128,1.3996944,51.3552883
primary,30,313875646,1.4009377,51.3538906
residential,20,307458864,1.4001038,51.3533836
footway,20,307458867,1.4010106,51.3537998
primary,30,6533867840,1.4012999,51.3534759
residential,20,307626545,1.3993181,51.3530012
service,No data,8177115055,1.3988185,51.3520891
path,No data,8279400302,1.397145,51.3537596
residential,20,307458890,1.4011016,51.3528124
service,No data,4570222183,1.4010753,51.3528418
residential,20,983157190,1.4016723,51.3526357
footway,No data,307461871,1.4170938,51.3502857
footway,20,307461983,1.4205729,51.3495032
service,30,307461888,1.4181455,51.3499139
footway,No data,307461916,1.4169658,51.3485673
residential,30,307461928,1.4178326,51.3483717
residential,30,307461938,1.4193196,51.3480892
residential,30,1773625669,1.4199554,51.3479539
residential,20,1773625761,1.4194283,51.3482879
residential,30,1773625549,1.4170767,51.3461802
tertiary,30,307469151,1.4047185,51.3505314
tertiary,30,8231827832,1.4046903,51.350518
tertiary,30,8231827828,1.4050269,51.350678
cycleway,No data,307469299,1.406765,51.3515876
residential,30,307469155,1.4058383,51.3510356
residential,30,308282966,1.4058799,51.3509912
tertiary,30,307469157,1.4068374,51.3515365
tertiary,30,1772952252,1.4079465,51.3520709
cycleway,No data,8231821795,1.4080082,51.3521772
residential,30,307469304,1.4050692,51.3506353
residential,30,8557737541,1.4052828,51.350392
cycleway,No data,8231866427,1.4107153,51.3517552
residential,30,6534051822,1.4090799,51.3412969
residential,30,307486980,1.4075463,51.3411121
residential,30,6077746115,1.4102986,51.3411944
residential,30,10123971934,1.4094533,51.3416002
residential,30,11058063213,1.4111322,51.3402869
residential,30,10577376675,1.4116664,51.3406955
residential,30,307486990,1.4080645,51.3399118
residential,30,8929235916,1.4081504,51.340067
residential,30,307487005,1.4097869,51.3381691
residential,30,307487002,1.4120473,51.3409953
primary,30,10577019918,1.4117985,51.3412233
primary,30,559461449,1.4084771,51.3383689
residential,30,5666658007,1.4205992,51.3373516
footway,No data,5666658003,1.4209714,51.3372118
residential,30,308282931,1.4215507,51.3379684
residential,30,6715740554,1.4218895,51.3370262
residential,30,8975293930,1.4225336,51.3370163
unclassified,30,307493590,1.4218261,51.3363064
primary,30,308282922,1.4238963,51.3386042
residential,30,8226328858,1.4246418,51.3387847
secondary,30,1779290255,1.4242771,51.3372088
service,No data,308275070,1.4118392,51.3502486
track,No data,8421311899,1.4116082,51.3486006
primary,30,308282899,1.4269607,51.3428312
primary,30,8165001728,1.4269526,51.3427537
residential,30,1607681890,1.426522,51.3429065
primary,30,308282903,1.4268695,51.3419009
primary,30,1607681884,1.4269057,51.3422854
primary,30,308282905,1.4268507,51.3417367
residential,30,1607681879,1.4264477,51.3418042
residential,30,1607681830,1.4262026,51.3412879
residential,30,308282909,1.425637,51.3400528
residential,30,1607681746,1.4249843,51.3403238
primary,30,10571439940,1.4250539,51.3395147
residential,30,308313090,1.4265045,51.3402522
residential,30,8226328859,1.4242068,51.3384564
residential,30,308296367,1.4235608,51.3386902
primary,30,8397408666,1.4220875,51.3378965
tertiary,30,8210223490,1.4218124,51.3383335
primary,30,308282933,1.4193623,51.3380985
primary,30,308282935,1.4184857,51.3381863
residential,30,1779063027,1.419477,51.3383153
residential,30,1779063059,1.4185767,51.3384035
primary,30,308325264,1.417782,51.3382874
footway,No data,308325263,1.4171678,51.3384954
residential,30,308315444,1.4160354,51.3385947
service,30,1779063468,1.4142895,51.3408727
residential,30,1779063347,1.4144162,51.3393073
primary,30,308282952,1.411424,51.3415912
residential,30,308329885,1.4132761,51.3411567
residential,30,8557720856,1.4085238,51.3469084
primary,30,308282960,1.4066732,51.3473713
primary,30,1772869584,1.4065736,51.3474945
cycleway,No data,308282962,1.4079501,51.3520254
cycleway,No data,308352179,1.4079904,51.3520403
residential,30,308352102,1.4065214,51.3505147
footway,No data,308296365,1.422769,51.3379156
footway,No data,308296368,1.4230679,51.3388868
residential,30,1779063301,1.4224678,51.3391143
tertiary,30,308296372,1.4221677,51.3387529
tertiary,30,308296375,1.4223063,51.3389226
tertiary,30,9385929447,1.4219494,51.3390458
residential,30,1779290284,1.4233598,51.3391233
residential,30,1779290289,1.4236599,51.3398829
footway,No data,308301521,1.4313626,51.3406706
residential,30,308301503,1.4303474,51.3397385
residential,30,308313057,1.4294018,51.3413986
residential,30,308313056,1.4297876,51.3417266
steps,30,1883758034,1.4311276,51.3407733
residential,30,308311253,1.4303275,51.3432296
footway,30,308311318,1.4291943,51.3430945
residential,30,1579287257,1.4304474,51.3436232
residential,30,308311261,1.430586,51.3440195
residential,30,1579287262,1.4294094,51.3439234
footway,30,308315459,1.4288869,51.3419226
footway,30,308313065,1.4295226,51.3400422
footway,No data,308313067,1.4281632,51.3405748
path,No data,308313079,1.4275526,51.3404782
residential,30,6915575680,1.4278215,51.3393468
footway,No data,308315450,1.4164014,51.3399057
footway,30,308326466,1.416526,51.3401181
residential,30,308315461,1.4283084,51.3415422
residential,30,308315460,1.4287413,51.3417823
residential,30,308318407,1.4243329,51.3410653
footway,30,1607681752,1.424416,51.3405476
residential,30,308318422,1.4221916,51.3416689
residential,30,1607681831,1.4246981,51.3412952
residential,30,1779063501,1.4220696,51.3417048
residential,30,308318428,1.4216036,51.3418672
service,No data,1773625473,1.4210241,51.34278
residential,30,1779063507,1.418242,51.3419005
residential,30,1341068015,1.4171882,51.3416199
residential,30,308318459,1.4168108,51.3407467
residential,30,1779063420,1.4166488,51.3403692
tertiary,30,308325089,1.4185677,51.3404644
tertiary,30,308325233,1.4156319,51.3409697
residential,30,1779063499,1.4185836,51.3415256
tertiary,30,8975205268,1.4194798,51.340045
residential,30,308325157,1.4215895,51.3411986
residential,30,1779063452,1.4220496,51.3407557
residential,30,8975205256,1.4228537,51.3405234
residential,30,308325178,1.422877,51.3404934
residential,30,8975205262,1.4229427,51.3403565
residential,30,1779063406,1.4214166,51.3401185
residential,30,8397399168,1.4217882,51.3404745
